host_shortname,datacenter_id,ci_type,offering,cdir,customer_id,server_purpose,os_type,os_name,sid,primary_application_area,function,mgmt_ip,cust_ip,dpe_email,pdl_email,sid2,ifn,purpose,hypervisor_cluster_id
cnbj11v101038,CHINA PROD-POD1,N/A,CMS,V10,21 Vianet CMS (V10),Prod,Linux,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_002
cnbj11v10103a,CHINA PROD-POD1,N/A,CMS,V10,21 Vianet CMS (V10),Prod,Linux,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_003
cnbj11v10103b,CHINA PROD-POD1,N/A,CMS,V10,21 Vianet CMS (V10),Prod,Linux,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_004
cnbj11v131007,CHINA PROD-POD1,N/A,CMS,V13,21 Vianet CMS (V13),Prod,Windows,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_005
prod00crmpxy01,CHINA PROD-POD1,N/A,CMS,V17,21 Vianet CMS (V17),Prod,Linux,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_006
sapbackup,CHINA PROD-POD1,N/A,CMS,V26,21 Vianet CMS (V26),Prod,Windows,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_007
bat-db-m,CHINA PROD-POD1,N/A,CMS,V29,21 Vianet CMS (V29),Prod,Windows,N/A,N/A,N/A,N/A,N/A,N/A,Host in CMS file but no DPE,PDL Not Available,,N/A,N/A,test_hypervisor_008
bhgwsdpgwd01,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.60,192.168.15.60,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_009
au0411sl21005,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.5,192.168.15.5,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_010
au0411sl21006,SYDNEY PROD-POD1,xSeries,CMS,SL2,7Eleven Stores,Prod,Windows,N/A,N/A,N/A,N/A,172.18.66.6,192.168.15.6,Sharon Uthaman,CDIR in Score CU Sheet but no PDL,,N/A,N/A,test_hypervisor_011
